"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Shtefan V.; Kanunnikova N.; Zuyok V.","Shtefan, Viktoriia (25029308400); Kanunnikova, Nadiia (57217962547); Zuyok, Valeriy (36619919000)","25029308400; 57217962547; 36619919000","Comparative evaluation of microstructure and electrochemical, high-temperature corrosion rates of titanium- and aluminum-modified black chromium coatings on AISI 304 stainless steel","2025","7","10.1016/j.surfcoat.2024.131706","https://www.scopus.com/pages/publications/85213838190?origin=resultslist"
"Padilla E.H.; Flores A.M.; Ramírez C.A.; López I.A.; Gómez L.B.","Padilla, Engelbert Huape (56406514500); Flores, Ariosto Medina (57338286000); Ramírez, Claudio Aguilar (56166871800); López, Ismeli Alfonso (57203558431); Gómez, Luis Béjar (6505615493)","56406514500; 57338286000; 56166871800; 57203558431; 6505615493","Electrochemical corrosion characterization of nickel aluminides in acid rain","2018","12","10.1590/s1517-707620180002.0335","https://www.scopus.com/pages/publications/85050279064?origin=resultslist"
"Elangovan N.; Pugalmani S.; Srinivasan A.; Rajendiran N.; Rajendran N.","Elangovan, Natarajan (58887128500); Pugalmani, Sivashanmugam (57193614018); Srinivasan, Arthanari (57195636719); Rajendiran, Nagappan (12041503300); Rajendran, Nallaiyan (57206031474)","58887128500; 57193614018; 57195636719; 12041503300; 57206031474","Synthesis and anticorrosive properties of novel PVK-ZrO2 nano composite coatings on steel-substrate","2018","8","10.1380/ejssnt.2018.5","https://www.scopus.com/pages/publications/85041897480?origin=resultslist"
"Li H.; Zhou J.; Sun Q.; Gao L.; Zhu M.; Guo Z.; Yang J.; Fu Q.","Li, Huating (57200521866); Zhou, Jianzhong (57221543196); Sun, Qi (57199812986); Gao, Liaoyuan (57210195653); Zhu, Ming (57210192058); Guo, Zhaoheng (57220766264); Yang, Jianian (57210195607); Fu, Qiang (57225983369)","57200521866; 57221543196; 57199812986; 57210195653; 57210192058; 57220766264; 57210195607; 57225983369","Electrochemical Corrosion Properties of AH32 Steel via Laser Cleaning; [基于激光清洗的AH３２钢的电化学腐蚀性能]","2019","6","10.3788/LOP56.211403","https://www.scopus.com/pages/publications/85086771479?origin=resultslist"
"Karthik D.; Deshmukh K.; Praveenkumar K.; Swaroop S.","Karthik, D. (57094892100); Deshmukh, Kalim (24558906200); Praveenkumar, K. (57226752955); Swaroop, S. (23470981700)","57094892100; 24558906200; 57226752955; 23470981700","Laser peening induced mitigation of severe pitting corrosion in titanium stabilized 321 steel","2024","9","10.1016/j.optlastec.2023.110537","https://www.scopus.com/pages/publications/85182441118?origin=resultslist"
"Sharma A.R.; Goyal R.","Sharma, Aaishwarika Raj (57226517307); Goyal, Rakesh (57194061548)","57226517307; 57194061548","Study of corrosion behaviour of Al2O3-13 % TiO2 and Cr2O3 coated ship hull steel in 3.5% NaCl solution","2021","6","10.1088/1742-6596/1969/1/012021","https://www.scopus.com/pages/publications/85112445653?origin=resultslist"
"Meng K.; Wei W.; Wei K.; Alexandrov I.V.; An X.; Wang D.; Liu X.","Meng, Konglan (58958216400); Wei, Wei (55249066200); Wei, Kunxia (24382156000); Alexandrov, Igor V. (57194225626); An, Xulong (57204628416); Wang, Dandan (57218078840); Liu, Xiangkui (57204164192)","58958216400; 55249066200; 24382156000; 57194225626; 57204628416; 57218078840; 57204164192","Corrosion Performance of Epoxy/Sulfur–Selenium Coating on Q235 Steel","2024","5","10.3390/coatings14030245","https://www.scopus.com/pages/publications/85188787764?origin=resultslist"
"Bellanger G.; Rameau J.J.","Bellanger, G. (7004589271); Rameau, J.J. (7004145287)","7004589271; 7004145287","Corrosion of nickel-chromium deposit on AISI 316L stainless steel in radioactive water with and without fluoride at pH 4","1995","12","10.1016/0022-3115(95)00089-5","https://www.scopus.com/pages/publications/0006229434?origin=resultslist"
"Zubizarreta C.; Berasategui E.G.; Bayón R.; Escobar Galindo R.; Barros R.; Gaspar D.; Nunes D.; Calmeiro T.; Martins R.; Fortunato E.; Barriga J.","Zubizarreta, C. (36021788100); Berasategui, E.G. (56479090100); Bayón, R. (26655267700); Escobar Galindo, R. (6602259479); Barros, R. (36090849100); Gaspar, D. (57213945190); Nunes, D. (26030595200); Calmeiro, T. (56418423100); Martins, R. (7202166114); Fortunato, E. (35420037600); Barriga, J. (6602115381)","36021788100; 56479090100; 26655267700; 6602259479; 36090849100; 57213945190; 26030595200; 56418423100; 7202166114; 35420037600; 6602115381","Evaluation of the optoelectronic properties and corrosion behavior of Al2O3-doped ZnO films prepared by dc pulsed magnetron sputtering","2014","6","10.1088/0022-3727/47/48/485501","https://www.scopus.com/pages/publications/84910686421?origin=resultslist"
"Davis G.D.; Dacres C.M.; Shook M.B.","Davis, G.D. (57192813512); Dacres, C.M. (6602812481); Shook, M.B. (6603048309)","57192813512; 6602812481; 6603048309","Development of an electrochemistry-based corrosion sensor to monitor corrosion of boiler tubes, pipes, and painted structures","1998","8","10.1117/12.302514","https://www.scopus.com/pages/publications/0032354639?origin=resultslist"
